code,category,detail,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
5622,Construction,Year End,31/12/18,31/12/17,31/05/17,31/05/16,31/05/15,31/05/14,31/05/13,31/05/12,31/05/11,31/05/10
5622,Construction,NP,"137,834",406,"10,630","23,978","7,130","23,378","34,171","13,772","1,100","1,139"
5622,Construction,Div,-,-,-,-,-,-,-,-,-,-
5622,Construction,Div Payout,- %,- %,- %,- %,- %,- %,- %,- %,- %,- %
5622,Construction,NOSH,"69,125","67,793","67,793","65,693","64,936","64,277","64,026","64,026","142,857","142,374"
5622,Construction,NP Margin,0.00 %,0.00 %,14.97 %,47.48 %,14.19 %,21.57 %,20.25 %,15.65 %,14.49 %,1.16 %
5622,Construction,ROE,189.90 %,- %,5.82 %,14.17 %,4.97 %,17.44 %,31.45 %,18.50 %,3.12 %,3.33 %
5622,Construction,EPS,199.40,0.00,15.68,36.50,11.02,36.37,53.37,21.51,0.77,0.80
5622,Construction,EPS GR,  0.00%  ,  0.00%  ,  -57.04%  ,  231.22%  ,  -69.70%  ,  -31.85%  ,  148.12%  ,"  2,693.51%  ",  -3.75%  ,  -  
5622,Construction,DPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5622,Construction,Price,0.7400,2.3500,1.5300,1.6400,1.1200,1.2600,1.4100,0.0800,0.0800,0.0800
5622,Construction,P/E,0.37,392.40,9.76,4.49,10.20,3.46,2.64,0.37,10.39,10.00
5622,Construction,DY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8591,Construction,Year End,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
8591,Construction,NP,"70,376","27,872","13,212","10,411","20,756","48,767","21,585","30,423","13,939","10,987"
8591,Construction,Div,"7,645","6,827","6,820","7,031","6,080","5,609","6,515","6,183","4,982","3,742"
8591,Construction,Div Payout,10.86 %,24.50 %,51.63 %,67.54 %,29.30 %,11.50 %,30.18 %,20.33 %,35.75 %,34.06 %
8591,Construction,NOSH,"169,909","170,692","170,520","175,785","162,156","149,589","130,306","123,674","124,562","124,755"
8591,Construction,NP Margin,12.13 %,5.84 %,5.31 %,4.48 %,9.63 %,24.59 %,4.38 %,5.88 %,3.02 %,3.33 %
8591,Construction,ROE,14.43 %,6.56 %,3.28 %,2.58 %,5.45 %,14.24 %,7.60 %,11.39 %,5.77 %,4.73 %
8591,Construction,EPS,41.40,16.30,7.70,6.20,12.80,32.60,16.60,24.60,11.30,8.90
8591,Construction,EPS GR,  153.99%  ,  111.69%  ,  24.19%  ,  -51.56%  ,  -60.74%  ,  96.39%  ,  -32.52%  ,  117.70%  ,  26.97%  ,  -  
8591,Construction,DPS,4.50,4.00,4.00,4.00,3.75,3.75,5.00,5.00,4.00,3.00
8591,Construction,Price,0.8700,0.9050,0.9100,1.0200,1.3500,1.5600,0.8700,0.5000,0.5300,0.6000
8591,Construction,P/E,2.10,5.54,11.74,17.22,10.55,4.79,5.25,2.03,4.74,6.81
8591,Construction,DY,5.17,4.42,4.40,3.92,2.78,2.40,5.75,10.00,7.55,5.00
7028,Construction,Year End,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,31/12/11,31/12/10,31/12/09
7028,Construction,NP,"12,721","14,017","31,308","-12,824","-19,937","-22,506","1,294","1,259","1,829","5,501"
7028,Construction,Div,-,-,-,-,-,-,-,-,-,-
7028,Construction,Div Payout,- %,- %,- %,- %,- %,- %,- %,- %,- %,- %
7028,Construction,NOSH,"128,039","119,090","119,106","119,082","119,139","119,102","118,780","118,773","118,766","112,494"
