code,category,year_end,net_profit,num_share,price,name,ROI
5250,Consumer,31/12/18,51307,1128891,1.5,7-ELEVEN MALAYSIA HOLDINGS BERHAD,3.03
7214,Industrial Products,31/07/18,13942,120000,0.73,A-RANK BERHAD,15.92
7086,Industrial Products,31/12/18,-988,263899,0.075,ABLEGROUP BERHAD,-4.99
5198,Industrial Products,31/12/18,4308,180000,0.5,ABM FUJIYA BERHAD,4.79
7131,Property,31/03/18,3091,209815,0.325,ACME HOLDINGS BERHAD,4.53
7120,Consumer,31/12/18,-7549,179146,0.41,ACOUSTECH BERHAD,-10.28
1481,Consumer,31/12/18,-4895,929194,0.11,ADVANCE SYNERGY BERHAD,-4.79
5281,Construction,31/12/18,10618,401923,0.3,ADVANCECON HOLDINGS BERHAD,8.81
9148,Industrial Products,31/12/18,1045,19112,1.94,ADVANCED PACKAGING TECHNOLOGY (M) BHD,2.82
7191,Health Care,31/12/18,-25569,152786,0.435,ADVENTA BERHAD,-38.47
7146,Industrial Products,31/12/18,-2077,299404,0.11,AE MULTI HOLDINGS BERHAD,-6.31
6599,Consumer,31/12/18,105123,1404000,1.47,AEON CO. (M) BHD,5.09
5139,Finance,28/02/18,300057,248137,13.3,AEON CREDIT SERVICE (M) BERHAD,9.09
5185,Finance,31/12/18,503086,1943167,2.23,AFFIN BANK BERHAD,11.61
7315,Consumer,31/03/18,1226,167473,0.195,AHB HOLDINGS BERHAD,3.75
7078,Construction,31/12/18,14665,598098,0.305,AHMAD ZAKI RESOURCES BERHAD,8.04
5099,Consumer,31/12/18,1979972,3341974,2.97,AIRASIA GROUP BERHAD,19.95
5238,Consumer,31/12/18,-312699,4148148,0.235,AIRASIA X BERHAD,-32.08
2658,Consumer,31/03/18,56261,60799,22.3,AJINOMOTO (MALAYSIA) BERHAD,4.15
7609,Industrial Products,30/11/18,24577,298699,0.57,AJIYA BERHAD,14.44
5116,REITS,31/12/18,91374,735985,1.31,AL-`AQAR HEALTHCARE REIT,9.48
5269,REITS,31/12/18,40301,580000,0.805,AL-SALAM REAL ESTATE INVESTMENT TRUST,8.63
