code,name
5250,7-ELEVEN MALAYSIA HOLDINGS BERHAD
7214,A-RANK BERHAD
7086,ABLEGROUP BERHAD
5198,ABM FUJIYA BERHAD
7131,ACME HOLDINGS BERHAD
7120,ACOUSTECH BERHAD
1481,ADVANCE SYNERGY BERHAD
5281,ADVANCECON HOLDINGS BERHAD
9148,ADVANCED PACKAGING TECHNOLOGY (M) BHD
7191,ADVENTA BERHAD
7146,AE MULTI HOLDINGS BERHAD
6599,AEON CO. (M) BHD
5139,AEON CREDIT SERVICE (M) BERHAD
5185,AFFIN BANK BERHAD
7315,AHB HOLDINGS BERHAD
7078,AHMAD ZAKI RESOURCES BERHAD
5099,AIRASIA GROUP BERHAD
5238,AIRASIA X BERHAD
2658,AJINOMOTO (MALAYSIA) BERHAD
7609,AJIYA BERHAD
5116,AL-`AQAR HEALTHCARE REIT
5269,AL-SALAM REAL ESTATE INVESTMENT TRUST
5115,ALAM MARITIM RESOURCES BERHAD
2674,ALCOM GROUP BERHAD
2488,ALLIANCE BANK MALAYSIA BERHAD
1163,ALLIANZ MALAYSIA BERHAD
2682,AMALGAMATED INDUSTRIAL STEEL BERHAD
4952,AMANAH HARTA TANAH PNB
5127,AMANAHRAYA REAL ESTATE INVESTMENT TRUST
1007,AMCORP PROPERTIES BERHAD
5120,AMFIRST REAL ESTATE INVESTMENT TRUST
1015,AMMB HOLDINGS BERHAD
7051,AMTEK HOLDINGS BERHAD
7031,AMTEL HOLDINGS BERHAD
5959,AMVERTON BERHAD
6351,AMWAY (MALAYSIA) HOLDINGS BERHAD
7083,ANALABS RESOURCES BERHAD
4758,ANCOM BERHAD
6556,ANN JOO RESOURCES BERHAD
9342,ANZO HOLDINGS BERHAD
5568,APB RESOURCES BERHAD
5088,APEX EQUITY HOLDINGS BERHAD
7090,APEX HEALTHCARE BERHAD
5194,APFT BERHAD
5015,APM AUTOMOTIVE HOLDINGS BERHAD
6432,APOLLO FOOD HOLDINGS BERHAD
7007,ARK RESOURCES HOLDINGS BERHAD
7722,ASIA BRANDS BERHAD
7129,ASIA FILE CORPORATION BHD
0159,ASIA MEDIA GROUP BERHAD
4057,ASIAN PAC HOLDINGS BERHAD
7162,ASTINO BERHAD
7054,ASTRAL ASIA BERHAD
6399,ASTRO MALAYSIA HOLDINGS BERHAD
8176,ATA IMS BERHAD
7048,ATLAN HOLDINGS BHD.
5130,ATRIUM REAL ESTATE INVESTMENT TRUST
7099,ATTA GLOBAL GROUP BERHAD
7181,ATURMAJU RESOURCES BERHAD
8885,AVILLION BERHAD
7579,AWC BERHAD
6888,AXIATA GROUP BERHAD
5106,AXIS REAL ESTATE INVESTMENT TRUST
2305,AYER HOLDINGS BERHAD
5021,AYS VENTURES BERHAD
7005,B.I.G. INDUSTRIES BERHAD
7251,BARAKAH OFFSHORE PETROLEUM BERHAD
1899,BATU KAWAN BERHAD
6602,BCB BERHAD
5190,BENALEC HOLDINGS BERHAD
3239,BERJAYA ASSETS BERHAD
3395,BERJAYA CORPORATION BERHAD
5196,BERJAYA FOOD BERHAD
4219,BERJAYA LAND BERHAD
6025,BERJAYA MEDIA BERHAD
1562,BERJAYA SPORTS TOTO BERHAD
5248,BERMAZ AUTO BERHAD
9814,BERTAM ALLIANCE BERHAD
5258,BIMB HOLDINGS BERHAD
6173,BINA DARULAMAN BERHAD
5932,BINA PURI HOLDINGS BHD
6998,BINTAI KINDEN CORPORATION BERHAD
5032,BINTULU PORT HOLDINGS BERHAD
7243,BIO OSMO BERHAD
5069,BLD PLANTATION BHD.
0168,BOILERMECH HOLDINGS BERHAD
9288,BONIA CORPORATION BERHAD
7036,BORNEO OIL BERHAD
8133,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD
2771,BOUSTEAD HOLDINGS BERHAD
5254,BOUSTEAD PLANTATIONS BERHAD
6297,BOX-PAK (MALAYSIA) BERHAD
5100,BP PLASTICS HOLDING BHD
9474,BRAHIM'S HOLDINGS BERHAD
8761,BREM HOLDING BERHAD
9938,BRIGHT PACKAGING INDUSTRY BERHAD
4162,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD
7221,BSL CORPORATION BERHAD
7188,BTM RESOURCES BERHAD
5210,BUMI ARMADA BERHAD
1818,BURSA MALAYSIA BERHAD
2828,C.I. HOLDINGS BERHAD
7174,CAB CAKARAN CORPORATION BERHAD
7154,CAELY HOLDINGS BHD
2852,CAHYA MATA SARAWAK BERHAD
7128,CAM RESOURCES BERHAD
5105,CAN-ONE BERHAD
5180,CAPITALAND MALAYSIA MALL TRUST
5257,CARIMIN PETROLEUM BERHAD
5245,CARING PHARMACY GROUP BERHAD
2836,CARLSBERG BREWERY MALAYSIA BERHAD
7076,CB INDUSTRIAL PRODUCT HOLDING BERHAD
7035,CCK CONSOLIDATED HOLDINGS BERHAD
5195,CENSOF HOLDINGS BERHAD
8052,CENTRAL INDUSTRIAL CORPORATION BERHAD
8982,CEPATWAWASAN GROUP BERHAD
7209,CHEETAH HOLDINGS BERHAD
2879,CHEMICAL COMPANY OF MALAYSIA BERHAD
5273,CHIN HIN GROUP BERHAD
7187,CHIN HIN GROUP PROPERTY BERHAD
1929,CHIN TECK PLANTATIONS BERHAD
5007,CHIN WELL HOLDINGS BERHAD
5229,CHINA AUTOMOBILE PARTS HOLDINGS LIMITED
5188,CHINA OUHUA WINERY HOLDINGS LIMITED
5214,CHINA STATIONERY LIMITED
5797,CHOO BEE METAL INDUSTRIES BHD
7016,CHUAN HUAT RESOURCES BHD
1023,CIMB GROUP HOLDINGS BERHAD
7117,CJ CENTURY LOGISTICS HOLDINGS BERHAD
7202,CLASSIC SCENIC BERHAD
7018,CME GROUP BERHAD
7986,CN ASIA CORPORATION BHD
5104,CNI HOLDINGS BERHAD
5071,COASTAL CONTRACTS BHD
7205,COCOALAND HOLDINGS BERHAD
2127,COMFORT GLOVES BERHAD
7195,COMINTEL CORPORATION BHD
5136,COMPLETE LOGISTIC SERVICES BERHAD
5037,COMPUGATES HOLDINGS BERHAD
8044,COMPUTER FORMS (MALAYSIA) BERHAD
8435,CONCRETE ENGINEERING PRODUCTS BERHAD
5738,COUNTRY HEIGHTS HOLDINGS BHD
5049,COUNTRY VIEW BERHAD
6718,CRESCENDO CORPORATION BERHAD
8591,CREST BUILDER HOLDINGS BERHAD
5094,CSC STEEL HOLDINGS BERHAD
0051,CUSCAPI BERHAD
9423,CWG HOLDINGS BERHAD
2925,CYCLE & CARRIAGE BINTANG BERHAD
7157,CYL CORPORATION BERHAD
5082,CYMAO HOLDINGS BERHAD
5184,CYPARK RESOURCES BERHAD
7204,D&O GREEN TECHNOLOGIES BERHAD
7179,D.B.E. GURNEY RESOURCES BERHAD
4456,DAGANG NEXCHANGE BERHAD
8125,DAIBOCHI BERHAD
5355,DAIMAN DEVELOPMENT BHD
3484,DAMANSARA REALTY BHD
5276,DANCOMECH HOLDINGS BERHAD
8338,DATAPREP HOLDINGS BHD
5216,DATASONIC GROUP BERHAD
